"term","name","namespace","n_sig","n_bg","gene_ratio","enrichment","pvalue","genes","padj"
"map00780","Biotin metabolism","",1,11,0.00359712230215827,0.780902550686723,0.744490264911977,"Mycgr3G39149",0.999460849422621
"map01522","Endocrine resistance","",1,11,0.00359712230215827,0.780902550686723,0.744490264911977,"Mycgr3G59862",0.999460849422621
"map04662","B cell receptor signaling pathway","",1,11,0.00359712230215827,0.780902550686723,0.744490264911977,"Mycgr3G59862",0.999460849422621
"map04925","Aldosterone synthesis and secretion","",1,11,0.00359712230215827,0.780902550686723,0.744490264911977,"Mycgr3G70478",0.999460849422621
"map04972","Pancreatic secretion","",1,11,0.00359712230215827,0.780902550686723,0.744490264911977,"Mycgr3G70478",0.999460849422621
"map05202","Transcriptional misregulation in cancer","",1,11,0.00359712230215827,0.780902550686723,0.744490264911977,"Mycgr3G36977",0.999460849422621
"map00760","Nicotinate and nicotinamide metabolism","",2,22,0.00719424460431655,0.780902550686723,0.745300369930729,"Mycgr3G95573;Mycgr3G56200",0.999460849422621
"map03430","Mismatch repair","",2,22,0.00719424460431655,0.780902550686723,0.745300369930729,"Mycgr3G85700;Mycgr3G48403",0.999460849422621
"map01130","","",28,266,0.100719424460432,0.904202953426732,0.755727722204586,"Mycgr3G106055;Mycgr3G110982;Mycgr3G32667;Mycgr3G99408;Mycgr3G53658;Mycgr3G68535;Mycgr3G54449;Mycgr3G74043;Mycgr3G74581;Mycgr3G45358;Mycgr3G88201;Mycgr3G98820;Mycgr3G88803;Mycgr3G109704;Mycgr3G87000;Mycgr3G110012;Mycgr3G74146;Mycgr3G76728;Mycgr3G41337;Mycgr3G23211;Mycgr3G60749;Mycgr3G70497;Mycgr3G107427;Mycgr3G100271;Mycgr3G41530;Mycgr3G31826;Mycgr3G36032;Mycgr3G69467",0.999460849422621
"map01212","Fatty acid metabolism","",3,33,0.0107913669064748,0.780902550686723,0.757648206533865,"Mycgr3G32667;Mycgr3G39149;Mycgr3G42395",0.999460849422621
"map00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","",2,23,0.00719424460431655,0.746950265874257,0.767527440804699,"Mycgr3G98465;Mycgr3G39191",0.999460849422621
"map00600","Sphingolipid metabolism","",2,23,0.00719424460431655,0.746950265874257,0.767527440804699,"Mycgr3G108882;Mycgr3G34998",0.999460849422621
"map00790","Folate biosynthesis","",2,23,0.00719424460431655,0.746950265874257,0.767527440804699,"Mycgr3G74083;Mycgr3G37216",0.999460849422621
"map04010","MAPK signaling pathway","",2,23,0.00719424460431655,0.746950265874257,0.767527440804699,"Mycgr3G72449;Mycgr3G59862",0.999460849422621
"map05152","Tuberculosis","",2,23,0.00719424460431655,0.746950265874257,0.767527440804699,"Mycgr3G100120;Mycgr3G75170",0.999460849422621
"map05231","Choline metabolism in cancer","",2,23,0.00719424460431655,0.746950265874257,0.767527440804699,"Mycgr3G59862;Mycgr3G65163",0.999460849422621
"map00061","Fatty acid biosynthesis","",1,12,0.00359712230215827,0.715827338129496,0.774373187231906,"Mycgr3G39149",0.999460849422621
"map01523","Antifolate resistance","",1,12,0.00359712230215827,0.715827338129496,0.774373187231906,"Mycgr3G110012",0.999460849422621
"map04650","Natural killer cell mediated cytotoxicity","",1,12,0.00359712230215827,0.715827338129496,0.774373187231906,"Mycgr3G59862",0.999460849422621
"map04918","Thyroid hormone synthesis","",1,12,0.00359712230215827,0.715827338129496,0.774373187231906,"Mycgr3G70478",0.999460849422621
"map04961","Endocrine and other factor-regulated calcium reabsorption","",1,12,0.00359712230215827,0.715827338129496,0.774373187231906,"Mycgr3G70478",0.999460849422621
"map04971","Gastric acid secretion","",1,12,0.00359712230215827,0.715827338129496,0.774373187231906,"Mycgr3G70478",0.999460849422621
"map05014","Amyotrophic lateral sclerosis","",1,12,0.00359712230215827,0.715827338129496,0.774373187231906,"Mycgr3G100120",0.999460849422621
"map05214","Glioma","",1,12,0.00359712230215827,0.715827338129496,0.774373187231906,"Mycgr3G59862",0.999460849422621
